Type,Price,Location,Bath(s),Area,Purpose,Bedroom(s),Added,Initial Amount,Monthly Installment,Remaining Installments,Area Name
House,PKR1.43 Crore,"Bahria Town Karachi, Karachi, Sindh",4,152 Sq. Yd.,For Sale,3,36 minutes ago,,,,Bahria Town Karachi
House,PKR3.25 Crore,"Bahria Town Karachi, Karachi, Sindh",5,500 Sq. Yd.,For Sale,5,1 hour ago,,,,Bahria Town Karachi
House,PKR1.85 Crore,"Bahria Town Karachi, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,1 hour ago,,,,Bahria Town Karachi
Flat,PKR60 Lakh,"Bahria Town Karachi, Karachi, Sindh",2,122 Sq. Yd.,For Sale,2,2 hours ago,,,,Bahria Town Karachi
House,PKR1.7 Crore,"Bahria Town Karachi, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,2 hours ago,,,,Bahria Town Karachi
Flat,PKR38.8 Lakh,"Bahria Town Karachi, Karachi, Sindh",1,43 Sq. Yd.,For Sale,1,46 minutes ago,PKR5.43 Lakh,PKR38.8 Thousand,30 Months,Bahria Town Karachi
Flat,PKR27.84 Lakh,"Bahria Town Karachi, Karachi, Sindh",2,35 Sq. Yd.,For Sale,2,2 hours ago,,,,Bahria Town Karachi
Flat,PKR1.67 Crore,"Bahria Town Karachi, Karachi, Sindh",3,206 Sq. Yd.,For Sale,3,3 hours ago,,,,Bahria Town Karachi
House,PKR2 Crore,"Bahria Town Karachi, Karachi, Sindh",4,350 Sq. Yd.,For Sale,4,6 hours ago,,,,Bahria Town Karachi
Flat,PKR38.8 Lakh,"Bahria Town Karachi, Karachi, Sindh",1,43 Sq. Yd.,For Sale,1,7 hours ago,PKR5.4 Lakh,PKR39 Thousand,30 Months,Bahria Town Karachi
House,PKR1.5 Crore,"Bahria Town Karachi, Karachi, Sindh",3,235 Sq. Yd.,For Sale,3,2 hours ago,,,,Bahria Town Karachi
House,PKR1.35 Crore,"Bahria Town Karachi, Karachi, Sindh",3,235 Sq. Yd.,For Sale,3,6 hours ago,,,,Bahria Town Karachi
Flat,PKR38.8 Lakh,"Bahria Town Karachi, Karachi, Sindh",1,43 Sq. Yd.,For Sale,1,47 minutes ago,PKR5.43 Lakh,PKR38.8 Thousand,30 Months,Bahria Town Karachi
Flat,PKR30 Lakh,"Bahria Town Karachi, Karachi, Sindh",1,33 Sq. Yd.,For Sale,-,47 minutes ago,PKR4.2 Lakh,PKR30 Thousand,30 Months,Bahria Town Karachi
House,PKR2.25 Crore,"Bahria Town Karachi, Karachi, Sindh",4,350 Sq. Yd.,For Sale,4,2 hours ago,,,,Bahria Town Karachi
House,PKR2.17 Crore,"Bahria Town Karachi, Karachi, Sindh",4,350 Sq. Yd.,For Sale,4,2 hours ago,,,,Bahria Town Karachi
House,PKR1.4 Crore,"Bahria Town Karachi, Karachi, Sindh",3,125 Sq. Yd.,For Sale,3,2 hours ago,,,,Bahria Town Karachi
Flat,PKR1.02 Crore,"Bahria Town Karachi, Karachi, Sindh",2,103 Sq. Yd.,For Sale,2,1 hour ago,,,,Bahria Town Karachi
Flat,PKR80 Lakh,"Bahria Town Karachi, Karachi, Sindh",2,106 Sq. Yd.,For Sale,2,1 hour ago,,,,Bahria Town Karachi
House,PKR1.85 Crore,"Bahria Town Karachi, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,2 hours ago,,,,Bahria Town Karachi
House,PKR2.14 Crore,"Bahria Town Karachi, Karachi, Sindh",4,350 Sq. Yd.,For Sale,4,2 hours ago,,,,Bahria Town Karachi
House,PKR1.54 Crore,"Bahria Town Karachi, Karachi, Sindh",3,235 Sq. Yd.,For Sale,3,2 hours ago,,,,Bahria Town Karachi
House,PKR1.9 Crore,"Bahria Town Karachi, Karachi, Sindh",5,350 Sq. Yd.,For Sale,4,2 hours ago,,,,Bahria Town Karachi
Flat,PKR80 Lakh,"Bahria Town Karachi, Karachi, Sindh",2,106 Sq. Yd.,For Sale,2,2 hours ago,,,,Bahria Town Karachi
House,PKR1.48 Crore,"Bahria Town Karachi, Karachi, Sindh",3,235 Sq. Yd.,For Sale,3,2 hours ago,,,,Bahria Town Karachi
House,PKR26 Crore,"DHA Defence, Karachi, Sindh",6,"1,000 Sq. Yd.",For Sale,5,39 minutes ago,,,,DHA Defence
House,PKR38 Crore,"DHA Defence, Karachi, Sindh",6,"2,000 Sq. Yd.",For Sale,6,39 minutes ago,,,,DHA Defence
House,PKR18.5 Crore,"DHA Defence, Karachi, Sindh",6,"1,000 Sq. Yd.",For Sale,5,8 hours ago,,,,DHA Defence
Flat,PKR6.8 Crore,"DHA Defence, Karachi, Sindh",4,180 Sq. Yd.,For Sale,2,9 hours ago,,,,DHA Defence
Flat,PKR5.2 Crore,"DHA Defence, Karachi, Sindh",3,182 Sq. Yd.,For Sale,2,10 hours ago,,,,DHA Defence
House,PKR9 Crore,"DHA Defence, Karachi, Sindh",4,404 Sq. Yd.,For Sale,3,1 hour ago,,,,DHA Defence
House,PKR20 Crore,"DHA Defence, Karachi, Sindh",5,500 Sq. Yd.,For Sale,5,5 hours ago,,,,DHA Defence
House,PKR13.5 Crore,"DHA Defence, Karachi, Sindh",8,600 Sq. Yd.,For Sale,7,9 hours ago,,,,DHA Defence
House,PKR6.29 Crore,"DHA Defence, Karachi, Sindh",2,211 Sq. Yd.,For Sale,2,17 hours ago,PKR62.94 Lakh,PKR37.76 Lakh,14 Months,DHA Defence
House,PKR10 Crore,"DHA Defence, Karachi, Sindh",4,367 Sq. Yd.,For Sale,2,1 day ago,,,,DHA Defence
House,PKR34 Crore,"DHA Defence, Karachi, Sindh",6,"1,000 Sq. Yd.",For Sale,6,39 minutes ago,,,,DHA Defence
House,PKR16.5 Crore,"DHA Defence, Karachi, Sindh",6,500 Sq. Yd.,For Sale,6,39 minutes ago,,,,DHA Defence
House,PKR3.75 Crore,"DHA Defence, Karachi, Sindh",4,100 Sq. Yd.,For Sale,3,3 hours ago,,,,DHA Defence
House,PKR13 Crore,"DHA Defence, Karachi, Sindh",5,500 Sq. Yd.,For Sale,4,5 hours ago,,,,DHA Defence
House,PKR7.25 Crore,"DHA Defence, Karachi, Sindh",6,300 Sq. Yd.,For Sale,6,5 hours ago,,,,DHA Defence
House,PKR32 Crore,"DHA Defence, Karachi, Sindh",6,"1,000 Sq. Yd.",For Sale,6,5 hours ago,,,,DHA Defence
House,PKR10.5 Crore,"DHA Defence, Karachi, Sindh",4,500 Sq. Yd.,For Sale,4,6 hours ago,,,,DHA Defence
House,PKR20 Crore,"DHA Defence, Karachi, Sindh",6,"1,000 Sq. Yd.",For Sale,6,19 minutes ago,,,,DHA Defence
House,PKR4.7 Crore,"DHA Defence, Karachi, Sindh",4,100 Sq. Yd.,For Sale,4,39 minutes ago,,,,DHA Defence
House,PKR23 Crore,"DHA Defence, Karachi, Sindh",6,"1,000 Sq. Yd.",For Sale,9,39 minutes ago,,,,DHA Defence
House,PKR5.8 Crore,"DHA Defence, Karachi, Sindh",4,250 Sq. Yd.,For Sale,4,39 minutes ago,,,,DHA Defence
House,PKR9.75 Crore,"DHA Defence, Karachi, Sindh",6,500 Sq. Yd.,For Sale,6,40 minutes ago,,,,DHA Defence
House,PKR10.5 Crore,"DHA Defence, Karachi, Sindh",5,500 Sq. Yd.,For Sale,5,41 minutes ago,,,,DHA Defence
House,PKR8.75 Crore,"DHA Defence, Karachi, Sindh",5,500 Sq. Yd.,For Sale,5,41 minutes ago,,,,DHA Defence
Flat,PKR2.35 Crore,"DHA Defence, Karachi, Sindh",4,222 Sq. Yd.,For Sale,4,49 minutes ago,,,,DHA Defence
House,PKR7.65 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",6,240 Sq. Yd.,For Sale,6,39 minutes ago,,,,Gulshan-e-Iqbal Town
Flat,PKR1.85 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",4,178 Sq. Yd.,For Sale,3,2 hours ago,,,,Gulshan-e-Iqbal Town
Flat,PKR3.4 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",3,189 Sq. Yd.,For Sale,3,20 hours ago,,,,Gulshan-e-Iqbal Town
Flat,PKR3.85 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",-,244 Sq. Yd.,For Sale,-,1 day ago,,,,Gulshan-e-Iqbal Town
House,PKR9 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",9,240 Sq. Yd.,For Sale,9,1 day ago,,,,Gulshan-e-Iqbal Town
Flat,PKR3.5 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",4,222 Sq. Yd.,For Sale,3,1 day ago,,,,Gulshan-e-Iqbal Town
Flat,PKR5.1 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",5,278 Sq. Yd.,For Sale,4,1 day ago,,,,Gulshan-e-Iqbal Town
Upper Portion,PKR3.25 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",4,240 Sq. Yd.,For Sale,4,2 days ago,,,,Gulshan-e-Iqbal Town
Upper Portion,PKR3.25 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",3,240 Sq. Yd.,For Sale,3,2 days ago,,,,Gulshan-e-Iqbal Town
House,PKR6 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",5,250 Sq. Yd.,For Sale,4,1 day ago,,,,Gulshan-e-Iqbal Town
Flat,PKR1.55 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",2,111 Sq. Yd.,For Sale,2,1 day ago,,,,Gulshan-e-Iqbal Town
Flat,PKR2.7 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",5,244 Sq. Yd.,For Sale,4,44 minutes ago,,,,Gulshan-e-Iqbal Town
Flat,PKR1.75 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",3,144 Sq. Yd.,For Sale,3,6 hours ago,,,,Gulshan-e-Iqbal Town
Flat,PKR90 Lakh,"Gulshan-e-Iqbal Town, Karachi, Sindh",2,106 Sq. Yd.,For Sale,2,6 hours ago,,,,Gulshan-e-Iqbal Town
Flat,PKR90 Lakh,"Gulshan-e-Iqbal Town, Karachi, Sindh",2,106 Sq. Yd.,For Sale,2,6 hours ago,,,,Gulshan-e-Iqbal Town
Flat,PKR90 Lakh,"Gulshan-e-Iqbal Town, Karachi, Sindh",2,106 Sq. Yd.,For Sale,2,6 hours ago,,,,Gulshan-e-Iqbal Town
Flat,PKR1.7 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",3,150 Sq. Yd.,For Sale,3,39 minutes ago,,,,Gulshan-e-Iqbal Town
House,PKR4.5 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",6,200 Sq. Yd.,For Sale,6,39 minutes ago,,,,Gulshan-e-Iqbal Town
Flat,PKR1.4 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",3,144 Sq. Yd.,For Sale,3,1 hour ago,,,,Gulshan-e-Iqbal Town
House,PKR5.25 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",4,267 Sq. Yd.,For Sale,4,2 hours ago,,,,Gulshan-e-Iqbal Town
Flat,PKR4.15 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",3,211 Sq. Yd.,For Sale,3,3 hours ago,,,,Gulshan-e-Iqbal Town
Flat,PKR2.6 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",3,300 Sq. Yd.,For Sale,3,3 hours ago,,,,Gulshan-e-Iqbal Town
House,PKR7.6 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",6,240 Sq. Yd.,For Sale,6,4 hours ago,,,,Gulshan-e-Iqbal Town
Flat,PKR1.15 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",3,150 Sq. Yd.,For Sale,3,4 hours ago,,,,Gulshan-e-Iqbal Town
Flat,PKR65 Lakh,"Gulistan-e-Jauhar, Karachi, Sindh",2,122 Sq. Yd.,For Sale,2,1 week ago,,,,Gulistan-e-Jauhar
Flat,PKR1.35 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",2,117 Sq. Yd.,For Sale,2,3 weeks ago,,,,Gulistan-e-Jauhar
Penthouse,PKR3.4 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",-,290 Sq. Yd.,For Sale,-,1 day ago,,,,Gulistan-e-Jauhar
Lower Portion,PKR2.5 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",3,240 Sq. Yd.,For Sale,3,9 hours ago,,,,Gulistan-e-Jauhar
House,PKR6.5 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",6,400 Sq. Yd.,For Sale,8,22 hours ago,,,,Gulistan-e-Jauhar
House,PKR15 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",-,800 Sq. Yd.,For Sale,-,3 days ago,,,,Gulistan-e-Jauhar
Flat,PKR6.2 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",3,444 Sq. Yd.,For Sale,3,4 days ago,,,,Gulistan-e-Jauhar
Upper Portion,PKR3.1 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",3,400 Sq. Yd.,For Sale,4,4 days ago,,,,Gulistan-e-Jauhar
Flat,PKR60 Lakh,"Gulistan-e-Jauhar, Karachi, Sindh",3,144 Sq. Yd.,For Sale,3,5 days ago,,,,Gulistan-e-Jauhar
House,PKR5.85 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",6,400 Sq. Yd.,For Sale,6,1 week ago,,,,Gulistan-e-Jauhar
Flat,PKR1.06 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",2,83 Sq. Yd.,For Sale,2,4 days ago,,,,Gulistan-e-Jauhar
Flat,PKR95 Lakh,"Gulistan-e-Jauhar, Karachi, Sindh",3,139 Sq. Yd.,For Sale,3,4 days ago,,,,Gulistan-e-Jauhar
Flat,PKR60 Lakh,"Gulistan-e-Jauhar, Karachi, Sindh",2,86 Sq. Yd.,For Sale,2,19 minutes ago,,,,Gulistan-e-Jauhar
Flat,PKR60 Lakh,"Gulistan-e-Jauhar, Karachi, Sindh",2,86 Sq. Yd.,For Sale,2,21 minutes ago,,,,Gulistan-e-Jauhar
House,PKR8.2 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",6,400 Sq. Yd.,For Sale,8,4 hours ago,,,,Gulistan-e-Jauhar
Flat,PKR85 Lakh,"Gulistan-e-Jauhar, Karachi, Sindh",2,117 Sq. Yd.,For Sale,2,6 hours ago,,,,Gulistan-e-Jauhar
Flat,PKR2.25 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",4,200 Sq. Yd.,For Sale,3,6 hours ago,,,,Gulistan-e-Jauhar
Lower Portion,PKR2.65 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",3,300 Sq. Yd.,For Sale,3,4 hours ago,,,,Gulistan-e-Jauhar
House,PKR5.1 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",6,240 Sq. Yd.,For Sale,6,4 hours ago,,,,Gulistan-e-Jauhar
House,PKR2.75 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",4,120 Sq. Yd.,For Sale,4,4 hours ago,,,,Gulistan-e-Jauhar
Flat,PKR72 Lakh,"Gulistan-e-Jauhar, Karachi, Sindh",2,78 Sq. Yd.,For Sale,2,4 hours ago,,,,Gulistan-e-Jauhar
Flat,PKR72 Lakh,"Gulistan-e-Jauhar, Karachi, Sindh",2,78 Sq. Yd.,For Sale,2,4 hours ago,,,,Gulistan-e-Jauhar
Flat,PKR72 Lakh,"Gulistan-e-Jauhar, Karachi, Sindh",2,78 Sq. Yd.,For Sale,2,4 hours ago,,,,Gulistan-e-Jauhar
Flat,PKR72 Lakh,"Gulistan-e-Jauhar, Karachi, Sindh",2,78 Sq. Yd.,For Sale,2,4 hours ago,,,,Gulistan-e-Jauhar
Flat,PKR72 Lakh,"Gulistan-e-Jauhar, Karachi, Sindh",2,78 Sq. Yd.,For Sale,2,4 hours ago,,,,Gulistan-e-Jauhar
Flat,PKR1.5 Crore,"North Nazimabad, Karachi, Sindh",3,139 Sq. Yd.,For Sale,3,2 days ago,,,,North Nazimabad
Flat,PKR1.35 Crore,"North Nazimabad, Karachi, Sindh",2,100 Sq. Yd.,For Sale,2,2 days ago,,,,North Nazimabad
Flat,PKR4.15 Crore,"North Nazimabad, Karachi, Sindh",3,244 Sq. Yd.,For Sale,3,3 days ago,,,,North Nazimabad
House,PKR6.5 Crore,"North Nazimabad, Karachi, Sindh",6,233 Sq. Yd.,For Sale,6,3 days ago,,,,North Nazimabad
Upper Portion,PKR1.45 Crore,"North Nazimabad, Karachi, Sindh",3,170 Sq. Yd.,For Sale,3,4 days ago,,,,North Nazimabad
House,PKR17 Crore,"North Nazimabad, Karachi, Sindh",6,"1,000 Sq. Yd.",For Sale,10,1 week ago,,,,North Nazimabad
House,PKR4.1 Crore,"North Nazimabad, Karachi, Sindh",5,233 Sq. Yd.,For Sale,5,1 week ago,,,,North Nazimabad
Upper Portion,PKR1.2 Crore,"North Nazimabad, Karachi, Sindh",2,110 Sq. Yd.,For Sale,2,2 weeks ago,,,,North Nazimabad
Flat,PKR2.05 Crore,"North Nazimabad, Karachi, Sindh",3,189 Sq. Yd.,For Sale,3,2 weeks ago,,,,North Nazimabad
Upper Portion,PKR1.45 Crore,"North Nazimabad, Karachi, Sindh",3,140 Sq. Yd.,For Sale,3,2 weeks ago,,,,North Nazimabad
House,PKR6.5 Crore,"North Nazimabad, Karachi, Sindh",9,517 Sq. Yd.,For Sale,9,4 days ago,,,,North Nazimabad
Upper Portion,PKR1.15 Crore,"North Nazimabad, Karachi, Sindh",2,120 Sq. Yd.,For Sale,2,5 hours ago,,,,North Nazimabad
Upper Portion,PKR68 Lakh,"North Nazimabad, Karachi, Sindh",2,100 Sq. Yd.,For Sale,2,6 hours ago,,,,North Nazimabad
Flat,PKR1.45 Crore,"North Nazimabad, Karachi, Sindh",2,111 Sq. Yd.,For Sale,2,6 hours ago,,,,North Nazimabad
House,PKR6.5 Crore,"North Nazimabad, Karachi, Sindh",-,600 Sq. Yd.,For Sale,-,1 day ago,,,,North Nazimabad
Flat,PKR78 Lakh,"North Nazimabad, Karachi, Sindh",2,111 Sq. Yd.,For Sale,2,1 day ago,,,,North Nazimabad
House,PKR8.5 Crore,"North Nazimabad, Karachi, Sindh",-,600 Sq. Yd.,For Sale,-,1 day ago,,,,North Nazimabad
Upper Portion,PKR2.2 Crore,"North Nazimabad, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,6 hours ago,,,,North Nazimabad
Lower Portion,PKR1.4 Crore,"North Nazimabad, Karachi, Sindh",3,150 Sq. Yd.,For Sale,3,6 hours ago,,,,North Nazimabad
Lower Portion,PKR1.85 Crore,"North Nazimabad, Karachi, Sindh",3,165 Sq. Yd.,For Sale,3,6 hours ago,,,,North Nazimabad
House,PKR3.5 Crore,"North Nazimabad, Karachi, Sindh",3,240 Sq. Yd.,For Sale,3,6 hours ago,,,,North Nazimabad
House,PKR3.4 Crore,"North Nazimabad, Karachi, Sindh",6,200 Sq. Yd.,For Sale,6,6 hours ago,,,,North Nazimabad
House,PKR3.6 Crore,"North Nazimabad, Karachi, Sindh",6,200 Sq. Yd.,For Sale,6,6 hours ago,,,,North Nazimabad
House,PKR3.8 Crore,"North Nazimabad, Karachi, Sindh",6,200 Sq. Yd.,For Sale,7,6 hours ago,,,,North Nazimabad
House,PKR2.4 Crore,"North Nazimabad, Karachi, Sindh",6,120 Sq. Yd.,For Sale,6,6 hours ago,,,,North Nazimabad
Flat,PKR1.8 Crore,"Scheme 33, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,6 days ago,,,,Scheme 33
Flat,PKR65 Lakh,"Scheme 33, Karachi, Sindh",2,89 Sq. Yd.,For Sale,2,27 minutes ago,,,,Scheme 33
House,PKR2.2 Crore,"Scheme 33, Karachi, Sindh",6,120 Sq. Yd.,For Sale,4,13 hours ago,,,,Scheme 33
House,PKR2.65 Crore,"Scheme 33, Karachi, Sindh",5,120 Sq. Yd.,For Sale,4,1 day ago,,,,Scheme 33
Flat,PKR99 Lakh,"Scheme 33, Karachi, Sindh",3,128 Sq. Yd.,For Sale,2,1 day ago,,,,Scheme 33
Flat,PKR78 Lakh,"Scheme 33, Karachi, Sindh",3,100 Sq. Yd.,For Sale,3,1 day ago,,,,Scheme 33
House,PKR2.55 Crore,"Scheme 33, Karachi, Sindh",6,120 Sq. Yd.,For Sale,4,1 day ago,,,,Scheme 33
House,PKR4.65 Crore,"Scheme 33, Karachi, Sindh",6,300 Sq. Yd.,For Sale,6,2 days ago,,,,Scheme 33
House,PKR3 Crore,"Scheme 33, Karachi, Sindh",5,120 Sq. Yd.,For Sale,4,2 days ago,,,,Scheme 33
House,PKR3.2 Crore,"Scheme 33, Karachi, Sindh",5,120 Sq. Yd.,For Sale,4,2 days ago,,,,Scheme 33
Flat,PKR50 Lakh,"Scheme 33, Karachi, Sindh",1,50 Sq. Yd.,For Sale,1,6 hours ago,,,,Scheme 33
House,PKR4.3 Crore,"Scheme 33, Karachi, Sindh",6,240 Sq. Yd.,For Sale,6,4 days ago,,,,Scheme 33
Flat,PKR1.1 Crore,"Scheme 33, Karachi, Sindh",2,106 Sq. Yd.,For Sale,2,17 minutes ago,,,,Scheme 33
Flat,PKR1.45 Crore,"Scheme 33, Karachi, Sindh",3,139 Sq. Yd.,For Sale,3,17 minutes ago,,,,Scheme 33
Flat,PKR1.35 Crore,"Scheme 33, Karachi, Sindh",3,139 Sq. Yd.,For Sale,3,18 minutes ago,,,,Scheme 33
Flat,PKR1.05 Crore,"Scheme 33, Karachi, Sindh",3,126 Sq. Yd.,For Sale,3,18 minutes ago,,,,Scheme 33
House,PKR3.7 Crore,"Scheme 33, Karachi, Sindh",3,240 Sq. Yd.,For Sale,3,18 minutes ago,,,,Scheme 33
Flat,PKR1.85 Crore,"Scheme 33, Karachi, Sindh",3,244 Sq. Yd.,For Sale,3,26 minutes ago,,,,Scheme 33
House,PKR2.1 Crore,"Scheme 33, Karachi, Sindh",5,120 Sq. Yd.,For Sale,4,3 hours ago,,,,Scheme 33
House,PKR2.65 Crore,"Scheme 33, Karachi, Sindh",4,120 Sq. Yd.,For Sale,4,4 hours ago,,,,Scheme 33
House,PKR4.95 Crore,"Scheme 33, Karachi, Sindh",6,240 Sq. Yd.,For Sale,6,4 hours ago,,,,Scheme 33
House,PKR3.65 Crore,"Scheme 33, Karachi, Sindh",9,200 Sq. Yd.,For Sale,8,4 hours ago,,,,Scheme 33
Upper Portion,PKR70 Lakh,"Scheme 33, Karachi, Sindh",3,90 Sq. Yd.,For Sale,2,4 hours ago,,,,Scheme 33
House,PKR3.8 Crore,"Scheme 33, Karachi, Sindh",6,240 Sq. Yd.,For Sale,6,4 hours ago,,,,Scheme 33
Flat,PKR1.65 Crore,"Scheme 33, Karachi, Sindh",3,167 Sq. Yd.,For Sale,3,5 hours ago,,,,Scheme 33
Flat,PKR55 Lakh,"Gadap Town, Karachi, Sindh",2,67 Sq. Yd.,For Sale,2,1 day ago,,,,Gadap Town
House,PKR2.25 Crore,"Gadap Town, Karachi, Sindh",5,120 Sq. Yd.,For Sale,4,4 weeks ago,,,,Gadap Town
House,PKR3.5 Crore,"Gadap Town, Karachi, Sindh",6,200 Sq. Yd.,For Sale,6,5 hours ago,,,,Gadap Town
House,PKR70 Lakh,"Gadap Town, Karachi, Sindh",3,120 Sq. Yd.,For Sale,2,1 day ago,,,,Gadap Town
Flat,PKR63 Lakh,"Gadap Town, Karachi, Sindh",3,94 Sq. Yd.,For Sale,3,2 days ago,,,,Gadap Town
Flat,PKR47 Lakh,"Gadap Town, Karachi, Sindh",2,65 Sq. Yd.,For Sale,2,2 days ago,,,,Gadap Town
House,PKR1.4 Crore,"Gadap Town, Karachi, Sindh",3,120 Sq. Yd.,For Sale,3,2 days ago,,,,Gadap Town
House,PKR1.35 Crore,"Gadap Town, Karachi, Sindh",3,120 Sq. Yd.,For Sale,3,6 days ago,,,,Gadap Town
Flat,PKR52 Lakh,"Gadap Town, Karachi, Sindh",2,78 Sq. Yd.,For Sale,2,1 week ago,PKR3 Lakh,PKR25 Thousand,60 Months,Gadap Town
House,PKR2.25 Crore,"Gadap Town, Karachi, Sindh",5,120 Sq. Yd.,For Sale,4,1 week ago,,,,Gadap Town
House,PKR1.65 Crore,"Gadap Town, Karachi, Sindh",3,160 Sq. Yd.,For Sale,3,1 week ago,,,,Gadap Town
Flat,PKR50 Lakh,"Gadap Town, Karachi, Sindh",2,83 Sq. Yd.,For Sale,2,1 week ago,,,,Gadap Town
House,PKR70 Lakh,"Gadap Town, Karachi, Sindh",3,120 Sq. Yd.,For Sale,2,9 hours ago,,,,Gadap Town
Flat,PKR42 Lakh,"Gadap Town, Karachi, Sindh",2,100 Sq. Yd.,For Sale,4,21 hours ago,,,,Gadap Town
House,PKR5.75 Crore,"Gadap Town, Karachi, Sindh",8,400 Sq. Yd.,For Sale,6,22 hours ago,,,,Gadap Town
House,PKR3.75 Crore,"Gadap Town, Karachi, Sindh",8,240 Sq. Yd.,For Sale,6,22 hours ago,,,,Gadap Town
House,PKR1.75 Crore,"Gadap Town, Karachi, Sindh",5,120 Sq. Yd.,For Sale,4,22 hours ago,,,,Gadap Town
House,PKR1.6 Crore,"Gadap Town, Karachi, Sindh",3,120 Sq. Yd.,For Sale,2,9 hours ago,,,,Gadap Town
House,PKR3.7 Crore,"Gadap Town, Karachi, Sindh",8,240 Sq. Yd.,For Sale,6,22 hours ago,,,,Gadap Town
House,PKR2 Crore,"Gadap Town, Karachi, Sindh",5,120 Sq. Yd.,For Sale,4,22 hours ago,,,,Gadap Town
House,PKR3.5 Crore,"Gadap Town, Karachi, Sindh",6,200 Sq. Yd.,For Sale,6,22 hours ago,,,,Gadap Town
House,PKR2 Crore,"Gadap Town, Karachi, Sindh",5,120 Sq. Yd.,For Sale,4,22 hours ago,,,,Gadap Town
Flat,PKR28 Lakh,"Gadap Town, Karachi, Sindh",2,72 Sq. Yd.,For Sale,2,1 day ago,,,,Gadap Town
House,PKR1.27 Crore,"Gadap Town, Karachi, Sindh",2,120 Sq. Yd.,For Sale,2,1 day ago,,,,Gadap Town
House,PKR1.26 Crore,"Gadap Town, Karachi, Sindh",2,120 Sq. Yd.,For Sale,2,1 day ago,,,,Gadap Town
House,PKR1.5 Crore,"North Karachi, Karachi, Sindh",4,110 Sq. Yd.,For Sale,4,1 day ago,,,,North Karachi
House,PKR3.55 Crore,"North Karachi, Karachi, Sindh",5,240 Sq. Yd.,For Sale,5,1 day ago,,,,North Karachi
House,PKR4.1 Crore,"North Karachi, Karachi, Sindh",6,240 Sq. Yd.,For Sale,6,3 days ago,,,,North Karachi
Upper Portion,PKR1.8 Crore,"North Karachi, Karachi, Sindh",-,280 Sq. Yd.,For Sale,-,3 days ago,,,,North Karachi
House,PKR6 Crore,"North Karachi, Karachi, Sindh",5,240 Sq. Yd.,For Sale,6,3 days ago,,,,North Karachi
House,PKR1.35 Crore,"North Karachi, Karachi, Sindh",2,80 Sq. Yd.,For Sale,4,3 days ago,,,,North Karachi
House,PKR3.6 Crore,"North Karachi, Karachi, Sindh",6,288 Sq. Yd.,For Sale,6,3 days ago,,,,North Karachi
House,PKR6.5 Crore,"North Karachi, Karachi, Sindh",6,240 Sq. Yd.,For Sale,11,3 days ago,,,,North Karachi
Lower Portion,PKR2 Crore,"North Karachi, Karachi, Sindh",3,240 Sq. Yd.,For Sale,3,3 days ago,,,,North Karachi
House,PKR3.8 Crore,"North Karachi, Karachi, Sindh",-,120 Sq. Yd.,For Sale,5,4 days ago,,,,North Karachi
Upper Portion,PKR1.9 Crore,"North Karachi, Karachi, Sindh",4,240 Sq. Yd.,For Sale,4,2 weeks ago,,,,North Karachi
